CryptoPunkId,ETH,Price
6697,16.95,23709.99908
9935,16.5,23079.99992
2570,34.99,48950.00076
6187,21,29379.99916
4986,24,33580.00183
3083,20.5,28680.00031
4826,16,22379.99916
8687,16,22379.99916
1100,19.49,27270.00046
6118,16,22379.99916
4447,16,22379.99916
1808,13.88,19420.00008
1387,13.8,19309.99947
4955,8,11189.99958
4491,22,30780.00069
9408,21.75,30430.00031
5062,21,29379.99916
8971,22.4,31340.00015
6762,16.25,22729.99954
5638,16.5,23079.99992
2443,16.9,23639.99939
1266,25,34979.99954
8828,35.99,50349.99847
4112,25,34979.99954
7255,15,20989.99977
939,50,69949.99695
9210,20,27979.99954
9008,16,22379.99916
9440,20,27979.99954
675,14.99,20969.99931
1648,15,20989.99977
842,25,34979.99954
5901,28.9,40430.00031
6272,18,25180.00031
765,32,44770.00046
6251,26.5,37069.99969
4204,15,20989.99977
9442,14.65,20500
5215,18,25180.00031
7960,18,25180.00031
7399,15,20989.99977
3622,17,23780.00069
3661,36,50360.00061
8813,16.25,22729.99954
8428,20.9,29239.99977
9189,13.37,18700.00076
5280,17,23780.00069
3409,17,23780.00069
8492,12.99,18170.00008
5883,26,36369.99893
5420,24.65,34490.00168
7425,20.5,28680.00031
3360,23,32180.00031
4800,14.95,20920.00008
6414,20,27979.99954
7155,14,19590.00015
8140,18.5,25879.99916
2707,18.99,26569.99969
445,71,99330.00183
2458,9.5,13289.99996
1435,15.71,21979.99954
9061,17,23780.00069
8995,15,20989.99977
160,30,41970.00122
1702,19.95,27909.99985
4606,15,20989.99977
8696,64,89540.00092
2127,14.92,20870.00084
4630,18,25180.00031
744,69,96529.99878
6353,16,22379.99916
7656,75,104930.0003
4815,14,19590.00015
5156,23.69,33139.99939
3715,19.99,27969.99931
9740,13,18190.00053
53,22,30780.00069
6117,15,20989.99977
6965,800,1120000.005
2636,12.65,17700.00076
6994,75,104930.0003
1719,15,20989.99977
4679,19.7,27559.99947
9085,13.85,19379.99916
7990,30,41970.00122
7147,12.05,16860.00061
8550,27.5,38470.00122
9164,13,18190.00053
5850,13,18190.00053
8593,30,41970.00122
6332,30,41970.00122
6115,13.5,18889.99939
4029,34,47569.99969
6875,35,48970.00122
8534,17,23780.00069
8243,24.49,34259.99832
1397,12,16790.00092
2353,22,30780.00069
7018,22.5,31479.99954
2015,41,57360.00061
5005,14.99,20969.99931
8710,15.5,21680.00031
4104,14.3,20010.00023
2833,20,27979.99954
6228,12.8,17909.99985
9840,15,20989.99977
6032,15,20989.99977
8489,15,20989.99977
8210,15,20989.99977
4280,14.99,20969.99931
